Subject,Start_Date,Start_Time,End_Date,End_Time,Location,All_Day_Event
21710 - Teoria de la Computació / 01X01,23/10/2017,12:30,23/10/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,27/10/2017,11:30,27/10/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01G,27/10/2017,12:30,27/10/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01G,26/10/2017,10:30,26/10/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21723 - Gestió de Projectes / 01X03,25/10/2017,10:30,25/10/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,27/10/2017,10:30,27/10/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01G,27/10/2017,11:30,23/10/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01X01,24/10/2017,09:30,24/10/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,25/10/2017,08:30,25/10/2017,10:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,24/10/2017,08:30,24/10/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,19/10/2017,16:30,19/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01G,19/10/2017,15:30,19/10/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,18/10/2017,16:30,18/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,18/10/2017,15:30,18/10/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01G,16/10/2017,15:30,16/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Avaluació 21710 - Teoria de la Computació / 01G,20/10/2017,12:30,20/10/2017,14:20,,False
21748 - Seguretat en Sistemes Informàtics / 01G,17/10/2017,15:30,17/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01X01,16/10/2017,12:30,16/10/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,19/10/2017,12:30,19/10/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,16/10/2017,11:30,16/10/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01X01,17/10/2017,09:30,17/10/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,20/10/2017,10:30,20/10/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,20/10/2017,11:30,20/10/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01G,19/10/2017,10:30,19/10/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21723 - Gestió de Projectes / 01X03,18/10/2017,10:30,18/10/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01G,02/11/2017,15:30,02/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,02/11/2017,16:30,02/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Lliurament 21710 - Teoria de la Computació / 01G,18/10/2017,,,,,True
21726 - Base de Dades II / 01G,30/10/2017,15:30,30/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,18/10/2017,08:30,18/10/2017,10:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,31/10/2017,15:30,31/10/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,03/11/2017,12:30,03/11/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,17/10/2017,08:30,17/10/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01G,31/10/2017,08:30,31/10/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01G,31/10/2017,12:30,02/11/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01X01,30/10/2017,12:30,30/10/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01X01,31/10/2017,09:30,31/10/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
